date,gpr_index,gpr_acts,gpr_threats
1985-01-01,230.03943,275.1976,153.02798
1985-01-02,115.67697,146.77206,87.44457
1985-01-03,97.42846,158.93765,29.459934
1985-01-04,157.36664,156.88225,157.02635
1985-01-05,81.36131,92.69814,77.319405
1985-01-06,167.30139,166.78642,208.67453
1985-01-07,105.31284,57.266552,143.29788
1985-01-08,87.40284,34.853523,130.82076
1985-01-09,121.40301,103.73941,129.79337
1985-01-10,140.62787,77.886116,181.9012
1985-01-11,94.853264,130.93102,72.80627
1985-01-12,95.55484,42.338093,123.59953
1985-01-13,91.78399,16.636631,138.76593
1985-01-14,211.63628,183.46507,229.54199
1985-01-15,97.16865,105.67589,102.83481
1985-01-16,106.32934,114.156044,95.217415
1985-01-17,54.688618,62.308895,38.97883
1985-01-18,111.21331,63.354847,132.11049
1985-01-19,51.59763,41.151043,68.64807
1985-01-20,77.84102,68.979034,86.302986
1985-01-21,138.40813,183.97612,76.72713
1985-01-22,51.75887,61.919464,34.431297
1985-01-23,124.84551,82.97415,138.41728
1985-01-24,83.650696,50.03593,97.38145
1985-01-25,70.18152,13.993098,105.04463
1985-01-26,54.126926,43.16825,72.013176
1985-01-27,63.703228,47.630356,66.214035
1985-01-28,101.49929,36.795223,138.10883
1985-01-29,76.81316,114.86508,47.90441
1985-01-30,16.158867,0.0,26.873207
1985-01-31,111.48065,111.137505,119.185265
1985-02-01,106.611374,106.28321,88.650696
1985-02-02,119.37181,99.17031,132.34854
1985-02-03,112.1637,104.363884,124.35683
1985-02-04,80.35879,89.0127,89.09446
1985-02-05,174.88712,123.06974,239.52208
1985-02-06,124.22129,49.53557,165.27022
1985-02-07,130.96199,76.79933,153.73975
1985-02-08,147.88249,103.199104,172.1565
1985-02-09,123.834305,144.02866,120.13412
1985-02-10,133.9915,89.05271,185.69688
1985-02-11,139.18352,111.00408,154.31393
1985-02-12,153.86244,126.32021,150.51933
1985-02-13,109.63582,140.52643,78.14195
1985-02-14,80.20745,63.968452,80.03401
1985-02-15,83.95908,60.873203,88.85496
1985-02-16,63.09653,62.902313,52.46674
1985-02-17,68.30036,51.067596,70.99236
1985-02-18,128.75705,163.3682,77.86583
1985-02-19,100.105064,72.57959,136.21173
1985-02-20,64.590454,36.795223,92.072556
1985-02-21,85.59606,102.39911,56.940647
1985-02-22,157.74132,104.83719,174.88914
1985-02-23,200.442,126.20528,228.07994
1985-02-24,91.591736,76.09151,114.242096
1985-02-25,100.12799,99.819786,97.136154
1985-02-26,125.18424,115.199005,112.1019
1985-02-27,120.7314,75.22486,150.5879
1985-02-28,144.72383,144.27837,133.71378
1985-03-01,146.57379,131.51036,134.06877
1985-03-02,149.52562,68.7994,191.28499
1985-03-03,77.75981,15.504091,116.38748
1985-03-04,82.60767,115.294754,68.690865
1985-03-05,137.3085,102.66439,171.26448
1985-03-06,179.05772,178.50656,148.8921
1985-03-07,132.5027,108.784,129.62372
1985-03-08,91.80326,106.774124,63.614407
1985-03-09,90.13789,67.39533,112.42873
1985-03-10,119.37181,104.12882,124.076744
1985-03-11,129.73503,155.20284,115.070656
1985-03-12,232.91492,343.997,143.46373
1985-03-13,183.18347,228.2745,177.70992
1985-03-14,177.45898,221.14093,122.968925
1985-03-15,138.3439,76.62115,191.7288
1985-03-16,194.85692,107.92064,252.04611
1985-03-17,42.651085,28.346535,47.28762
1985-03-18,124.33229,123.949585,132.92513
1985-03-19,139.11046,138.68225,144.59337
1985-03-20,136.23114,128.66382,143.09111
1985-03-21,118.58834,110.34177,157.77588
1985-03-22,102.776566,110.34177,78.88794
1985-03-23,98.7189,109.35004,91.20873
1985-03-24,79.82091,39.787605,132.74716
1985-03-25,75.6294,120.63456,37.73293
1985-03-26,95.38808,103.73941,72.10743
1985-03-27,135.9369,71.325516,166.57907
1985-03-28,145.02025,136.9647,165.01636
1985-03-29,86.99673,26.68583,122.42239
1985-03-30,142.69522,142.25598,152.55713
1985-03-31,70.313934,46.73167,77.95766
1985-04-01,90.2607,89.982864,90.06552
1985-04-02,79.05889,94.57865,92.03593
1985-04-03,88.790474,68.090126,124.94657
1985-04-04,155.719,127.01428,188.34215
1985-04-05,95.55484,95.26071,79.45684
1985-04-06,179.05772,111.56659,204.72664
1985-04-07,57.538395,81.944695,41.009983
1985-04-08,149.37308,70.07684,204.57852
