,gold_realized_vol_20d,gold_realized_vol_5d,vol_of_vol
2000-01-04,,,
2000-01-05,,,
2000-01-06,,,
2000-01-07,,,
2000-01-10,,,
2000-01-11,,0.06710768876657343,
2000-01-12,,0.05053393536796975,
2000-01-13,,0.05721653364736468,
2000-01-14,,0.06020960272648575,
2000-01-18,,0.11807268673100958,
2000-01-19,,0.11861175208556317,
2000-01-20,,0.12220922297252249,
2000-01-21,,0.12298793322290578,
2000-01-24,,0.13669717295786024,
2000-01-25,,0.059240576125368996,
2000-01-26,,0.04826482506410746,
2000-01-27,,0.057496434241444766,
2000-01-28,,0.09970876093251406,
2000-01-31,,0.1059005286565496,
2000-02-01,,0.10474633863835221,
2000-02-02,0.09901554265481025,0.13308946178110076,
2000-02-03,0.10019199536374693,0.14803395261947783,
2000-02-04,0.3007016423559054,0.5523163084806054,
2000-02-07,0.32179543216644924,0.6403001681869944,
2000-02-08,0.32452088723538114,0.6520104964491824,
2000-02-09,0.3321510979022835,0.654984230226723,
2000-02-10,0.3466946966268082,0.6619581952395418,
2000-02-11,0.3552337229165958,0.4130403192667523,
2000-02-14,0.35778050023992447,0.3485284751689195,
2000-02-15,0.3662937995677758,0.39031939971904084,
2000-02-16,0.3662957931619275,0.34487520374051717,
2000-02-17,0.3663363259152217,0.15565910903419272,
2000-02-18,0.3681277414034725,0.2045908246039345,
2000-02-22,0.3668615109460463,0.20239105629690204,
2000-02-23,0.3727969074001926,0.17154959983873877,
2000-02-24,0.37348239005842754,0.1698072189411191,
2000-02-25,0.3821642319223876,0.21446606280417416,
2000-02-28,0.3777787315931897,0.17365953545590782,
2000-02-29,0.3778242030643464,0.16978760863375125,
2000-03-01,0.3779256233611157,0.14819386979735572,0.08234493363714364
2000-03-02,0.38047485300839834,0.15727041835924746,0.062031317427491954
2000-03-03,0.3796115638824463,0.10173016659625642,0.02298951278513333
2000-03-06,0.23409466359165046,0.08708140565661111,0.03412174698375744
2000-03-07,0.2245033227300427,0.1575961440318305,0.04463296448949728
2000-03-08,0.22568545594839293,0.17620484607638895,0.052551903386389605
2000-03-09,0.20976030762044812,0.15905029200620976,0.06080215432038301
2000-03-10,0.1646045863194858,0.17824827225375084,0.07235844122593128
2000-03-13,0.16157864628908775,0.17931308397781706,0.08139191192476385
2000-03-14,0.16083854278200582,0.1379958950756695,0.0884078918010459
2000-03-15,0.1445434053451151,0.1154086684047793,0.09488850189127615
